题号,题干,A,B,C,D,E,答案,难度,题型
68926,马克思主义理论从广义上说是（）,马克思和恩格斯创立的基本理论、基本观点和基本方法构成的科学体系,无产阶级争取自身解放和整个人类解放的学说体系,关于无产阶级斗争的性质、目的和解放条件的学说,不仅指马克思恩格斯创立的基本理论、基本观点和学说的体系，也包括继承者对它的发展。,,D,易,单选题
68928,马克思主义产生的经济根源是（）,阶级斗争,资本主义社会生产力和生产关系的矛盾运动,资本主义经济危机,工业革命,,B,易,单选题
68929,马克思和恩格斯进一步发展和完善了英国古典经济学理论是（）,辩证法,历史观,剩余价值论,劳动价值论,,D,易,单选题
68930,马克思把黑格尔的辩证法称为（）,合理内核,核心,基本内核,精髓,,A,易,单选题
68931,在第一次世界大战中成为东西方矛盾焦点和帝国主义政治体系最薄弱环节的国家是（）,中国,俄国,奥地利,德国,,B,易,单选题
68932,“哲学把无产阶级当作自己的物质武器，同样，无产阶级把哲学当作自己的精神武器”，这个论断的含义是（）,无产阶级的存在方式是精神,哲学的存在方式是物质,马克思主义是无产阶级的世界观和方法论,无产阶级掌握哲学就由自为阶级转变为自在阶级,,C,易,单选题
68933,马克思主义生命力的根源在于（）,科学性,以实践为基础的科学性与革命性的统一,科学性与阶级性的统一,与时俱进,,B,易,单选题
68934,马克思主义最重要的理论品质是（）,科学严谨,吐故纳新,与时俱进,博大精深,,C,易,单选题
68935,马克思主义最崇高的社会理想（）,实现共产主义,实现个人的绝对自由,消灭阶级、消灭国家,实现人权,,A,易,单选题
68937,人类进入21世纪，英国广播公司(BBS)在全球范围内进行“千年思想家”网评，名列榜首的是 (    ),牛顿,达尔文,马克思,爱因斯坦,,C,易,单选题
68939,马克思主义公开问世的标志性著作是( ),《共产党宣言》,《政治经济学批判》和《资本论》,《反杜林论》和《家庭、私有制和菌象的起源》,《关于费尔巴哈的提纲》和《德意志意识形态》,,A,易,单选题
68940,马克思主义的革命性与科学性统一的基础是（）,战斗性,逻辑性,实践性,理论性,,C,易,单选题
68941,就理想的内容来划分，有生活理想、职业理想、道德理想、社会理想等。其中全部理想的核心是（）,职业理想,生活理想,道德理想,社会理想,,D,易,单选题
68946,恩格斯认为，全部哲学、特别是近代哲学的重大的基本问题是（）,人与周围世界的基本联系问题,关于人的本质问题,哲学与人类生存活动之间的内在联系问题,思维和存在的关系问题,,D,易,单选题
68947,对哲学基本问题第一方面的不同回答是划分（）的标准,唯物主义和唯心主义,可知论与不可知论,一元论和二元论,辩证法和形而上学,,A,易,单选题
68948,马克思主义认为，世界的真正统一性在于它的（）,运动性,客观性,实践性,物质性,,D,易,单选题
68949,“坐地日行八万里，巡天遥看一千河”，这一著名诗句包含的哲理是（）,物质运动的客观性和时空的主观性的统一,运动的绝对性和静止的相对性的统一,物质运动无限性和有限性的统一,时空的无限性和有限性的统一,,B,易,单选题
68950,“旧唯物主义是半截子的唯物主义”，这是指（）,旧唯物主义是割裂了运动与静止的辩证法,旧唯物主义是形而上学的唯物主义,旧唯物主义是机械唯物主义,旧唯物主义在社会历史观上是唯心主义,,D,易,单选题
68951,对于同一事物，不同的人有不同的反映，这说明（）,意识是主体的自由创造,意识受主体状况的影响,意识不受客体影响,意识的内容是主观的,,B,易,单选题
68952,从解决哲学基本问题的角度看，物质的惟一特性是（）,运动性,客观实在性,不可分性,时空性,,B,易,单选题
68956,唯物主义和唯心主义在世界统一性问题上的根本分歧是（）,认为世界统一于物质还是统一于精神,认为世界统一于运动还是统一于静止,肯定世界的统一性还是否认世界的统一性,认为世界统一于主体还是统一于客体,,A,易,单选题
68957,相对静止是指（）,事物绝对不动,事物运动的特殊状态,事物永恒不变,事物运动的普遍状态,,B,易,单选题
68958,时间和空间是（）,物质运动的根本原因,物质的根本属性,物质运动的存在方式,物质的唯一特性,,C,易,单选题
68959,列宁对辩证唯物主义物质范畴的定义是通过（）,一般和个别的关系界定的,主体和客体的关系界定的,哲学与具体科学的关系界定的,物质和意识的关系界定的,,D,易,单选题
68960,人工智能的出现对马克思主义哲学意识论的意义是（）,肯定了人工智能可以代替意识的能动活动,否定了物质对意识的决定作用,丰富了物质和意识相互关系的内容,改变了人类意识活动的规律性,,C,易,单选题
68962,唯物主义哲学发展的三个基本历史形态是（）,机械唯物主义、形而上学唯物主义、辩证唯物主义,古代朴素唯物主义、形而上学唯物主义、辩证唯物主义,形而上学唯物主义、庸俗唯物主义、辩证唯物主义,奴隶社会时期的唯物主义、封建社会时期的唯物主义、资本主义时期的唯物主义,,B,易,单选题
68963,实践是指（）,个人的生活活动,人有目的的、达到真理性的认识活动,一切有利于自己的活动,人们能动地改造和探索现实世界的社会性的客观物质活动,,D,易,单选题
68966,哲学上的一元论就是承认(),世界是发展的,世界在本质上是精神的,世界是统一的,世界是物质的,,C,易,单选题
68967,否认思维和存在有同一性的哲学是（）,不可知论,唯心主义,诡辩论,二元论,,A,易,单选题
68968,火是万物本原的观点是属于（）,自发的或朴素的唯物主义的观点,唯心主义的观点,机械唯物主义的观点,主观唯心主义的观点,,A,易,单选题
68969,"《国语·郑语》写道：""先主以土与金木水火杂，以成百物""；朱熹提出：""未有天地之先，毕竟是先有理""这是()",古代朴素唯物主义与客观唯心主义两种不同观点,古代唯物主义之中两种不同派别的观点,主观唯心主义和客观唯心主义两种不同观点,古代朴素唯物主义和主观唯心主义两种不同观点,,A,易,单选题
68970,唯心主义的两种基本形式是（）,形而上学唯心主义和辩证法的唯心主义,教条主义和经验主义,主观唯心主义和客观唯心主义,古典唯心主义和现代唯心主义,,C,易,单选题
68971,主观唯心主义和客观唯心主义的区别是(),前者认为人的主观精神决定世界，后者认为世界是某种客观精神创造的,前者强调主观能动性，后者强调客观规律性,前者是完全错误的，后者有一定的合理性,前者认为人是第一性的，后者认为自然界是第一性的,,A,易,单选题
68972,划分唯物主义和唯心主义的唯一标准，是如何回答(),世界的统一性问题,思维和存在何者为第一性的问题,世界的运动和发展问题,世界的可知性问题,,B,易,单选题
68974,正确发挥意识能动作用的客观前提是(),要有旺盛的革命热情,把世界的万物之源归结为主观精神,正确反映客观规律,充分集体主义精神,,C,易,单选题
68975,意识的能动性表现在，意识能够(),反映客观世界,通过实践改造客观世界,创造客观规律,改造历史规律,,B,易,单选题
68976,"“观念的东西不外是移入人脑并在人脑中改造过的物质的东西而已”,这是()",形而上学唯物主义观点,唯心主义辩证法观点,唯心主义观点,辩证唯物主义观点,,D,易,单选题
68977,辩证唯物主义认为意识的本质是指(),意识是人脑对客观世界的反映,意识是自然界长期发展的产物,意识是人脑分泌的特殊物质,意识是社会的产物,,A,易,单选题
68978,物质与意识的辨证关系是（）,意识决定物质，物质对意识有反作用,物质决定意识，意识决定人脑,物质决定意识，意识对物质有反作用,物质决定意识，意识创造物质,,C,易,单选题
